행정구역별,산업별,사업체구분별,항목,단위,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,계산결과,464.92,539.67,"8,247.50","7,407"
대전,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,종사자수[명],명,7662,7945,8143,8265,8714,9101,8921,9255,9476,9547,10554,10986,11565,12086,10477,22.5350598,,,,
대전,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,사업체수[개],개,10730,10962,11146,11276,11532,11793,12213,12398,12341,12426,12592,12998,13317,13488,13596,29.24374086,,,,
대전,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,종사자수[명],명,22621,23610,24277,24375,25328,25880,26855,27552,26919,28216,26958,27927,27927,28329,25564,54.98580401,대전끝,,,
세종,제조업(10~34),계,사업체수[개],개,,,,,,,703,784,913,988,1015,1093,1233,1300,1372,2.542294365,세종시작,,,
세종,제조업(10~34),계,종사자수[명],명,,,,,,,16407,17574,17325,18675,18677,19107,20248,20555,19640,36.3926103,,,,
세종,"전기, 가스, 증기 및 공기조절 공급업(35)",계,사업체수[개],개,,,,,,,3,6,5,5,6,9,14,15,22,0.040765653,,,,
세종,"전기, 가스, 증기 및 공기조절 공급업(35)",계,종사자수[명],명,,,,,,,63,208,219,212,243,360,483,545,626,1.159968129,,,,
세종,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,사업체수[개],개,,,,,,,25,26,37,39,48,57,64,71,76,0.140826802,,,,
세종,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,종사자수[명],명,,,,,,,249,306,340,352,389,459,562,601,660,1.222969593,,,,
세종,건설업(41~42),계,사업체수[개],개,,,,,,,224,377,546,544,512,478,544,604,675,1.250764356,,,,
세종,건설업(41~42),계,종사자수[명],명,,,,,,,1388,2589,4147,4579,3954,3766,6350,6216,5762,10.67689514,,,,
세종,도매 및 소매업(45~47),계,사업체수[개],개,,,,,,,1508,1602,1940,2177,2401,2680,2963,3402,3844,7.122871384,,,,
세종,도매 및 소매업(45~47),계,종사자수[명],명,,,,,,,3765,4002,5327,6168,6794,7617,8811,9603,9722,18.01471269,,,,
세종,운수 및 창고업(49~52),계,사업체수[개],개,,,,,,,513,565,646,724,786,748,942,1141,1082,2.004928938,,,,
세종,운수 및 창고업(49~52),계,종사자수[명],명,,,,,,,1869,2203,2416,2212,2648,2842,3630,4096,3606,6.681861137,,,,
세종,숙박 및 음식점업(55~56),계,사업체수[개],개,,,,,,,1545,1665,2007,2375,2726,3049,3452,3849,4276,7.923360572,,,,
세종,숙박 및 음식점업(55~56),계,종사자수[명],명,,,,,,,3589,4289,5749,7507,8356,9354,10997,12190,11082,20.53477125,,,,
세종,정보통신업(58~63),계,사업체수[개],개,,,,,,,29,39,57,66,85,121,160,218,258,0.478069932,,,,
세종,정보통신업(58~63),계,종사자수[명],명,,,,,,,225,345,876,1081,1205,1391,1312,1424,1722,3.190838846,,,,
세종,금융 및 보험업(64~66),계,사업체수[개],개,,,,,,,86,99,109,119,133,154,179,198,191,0.353919988,,,,
세종,금융 및 보험업(64~66),계,종사자수[명],명,,,,,,,746,862,868,1163,1279,1380,1803,1979,2090,3.872737043,,,,
세종,부동산업(68),계,사업체수[개],개,,,,,,,341,423,676,749,891,1210,1369,1541,1757,3.255693294,,,,
세종,부동산업(68),계,종사자수[명],명,,,,,,,1200,1324,2008,2725,3143,3918,4142,4526,4164,7.715826338,,,,
세종,"전문, 과학 및 기술 서비스업(70~73)",계,사업체수[개],개,,,,,,,107,145,219,251,281,360,444,552,669,1.239646451,,,,
세종,"전문, 과학 및 기술 서비스업(70~73)",계,종사자수[명],명,,,,,,,700,914,3891,4761,6401,5802,6130,6755,7511,13.91776456,,,,
세종,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,사업체수[개],개,,,,,,,89,117,149,179,222,292,348,397,432,0.800489188,,,,
세종,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,종사자수[명],명,,,,,,,676,1073,1561,2665,2503,3904,4601,4210,4014,7.437878704,,,,
세종,"공공행정, 국방 및 사회보장 행정(84)",계,사업체수[개],개,,,,,,,44,57,75,86,102,108,117,130,130,0.24088795,,,,
