2019.11,101.7,46,4.88,99.481,1.2,66768,2.45,90.7
2019.12,102.7,46,4.96,99.719,1.2,87933,2.45,94.55
2020.01,103.4,61,4.84,100.09,1.2,75986,2.51,95.33
2020.02,104.8,61,5.13,100.16,1.2,87642,2.52,96.48
2020.03,105.6,61,5.43,99.94,1.2,79615,2.48,97.13
2020.04,105.5,45,6.12,99.5,1.2,48972,2.58,94.79
2020.05,106.3,45,6.22,99.44,1.2,57426,2.52,94.21
2020.06,108.4,45,6.1,99.71,1.2,102482,2.49,97.81
2020.07,110.8,42,6.14,99.63,1.2,102628,2.45,104.93
2020.08,112.2,42,6.45,100.19,1.2,59429,2.39,105.56
2020.09,113.1,42,6.51,100.74,1.2,58037,2.44,104.79
2020.10,114.7,38,6.6,100.18,1.2,66174,2.47,104.57
2020.11,117.3,38,6.46,100.09,1.2,89660,2.56,107.1
2020.12,120.2,38,6.47,100.33,1.2,106027,2.59,111.29
2021.01,123.2,35,6.61,101.04,1.4,64371,2.63,112.75
2021.02,125.4,35,6.71,101.58,1.4,60057,2.66,114.06
2021.03,127.1,35,6.78,101.84,1.4,69827,2.73,112.22
2021.04,128.7,39,6.73,101.98,1.4,59232,2.73,109.4
2021.05,131.0,39,6.74,102.05,1.4,61666,2.69,109.13
2021.06,134.0,39,6.61,102.05,1.4,57861,2.74,112.47
2021.07,137.2,37,6.9,102.26,1.4,59386,2.81,117.27
2021.08,140.5,37,7.0,102.75,1.4,61170,2.88,119.54
2021.09,143.2,37,7.18,103.17,1.4,55191,3.01,118.79
2021.10,144.6,42,7.34,103.35,1.4,48796,3.26,110.62
2021.11,143.7,42,7.31,103.87,1.4,41141,3.51,100.59
2021.12,142.1,42,7.4,104.04,1.4,30484,3.63,96.57
2022.01,141.3,50,7.29,104.85,1.4,24465,3.85,95.16
2022.02,141.0,50,6.99,105.42,1.4,26232,3.88,94.02
2022.03,141.5,50,7.18,106.1,1.4,32487,3.84,94.85
2022.04,142.1,29,7.01,106.83,1.4,35679,3.9,95.59
2022.05,140.8,29,6.81,107.5,1.4,37124,3.9,94.95
2022.06,139.9,29,7.02,108.21,1.4,28147,4.04,94.17
2022.07,136.3,30,7.06,108.73,1.4,21836,4.16,92.37
2022.08,133.4,30,7.08,108.63,1.4,19516,4.35,89.68
2022.09,130.6,30,6.88,108.82,1.4,18028,4.79,87.1
2022.10,126.2,34,6.38,109.16,1.4,18570,4.82,83.72
2022.11,121.2,34,6.91,109.07,1.4,18275,4.74,78.22
2022.12,117.9,34,7.17,109.26,1.4,18222,4.63,74.58
2023.01,117.1,33,7.27,110.07,1.4,17841,4.58,76.05
2023.02,118.2,33,7.43,110.33,1.4,31337,4.56,77.15
2023.03,119.4,33,7.19,110.52,1.4,38926,4.4,79.76
2023.04,120.2,34,6.94,110.77,1.4,34965,4.24,82.36
2023.05,121.0,34,6.86,111.13,1.4,40746,4.21,85.5
2023.06,121.8,34,6.8,111.16,1.4,39622,4.26,86.97
2023.07,122.7,33,6.72,111.29,1.4,36260,4.28,88.11
2023.08,123.7,33,6.68,112.28,1.4,39277,4.31,89.62
2023.09,124.4,33,6.27,112.83,1.4,37629,4.35,90.9
2023.10,124.1,34,7.13,113.26,1.4,35454,4.56,90.7
2023.11,123.1,34,13.46,112.67,1.4,32821,4.48,89.26
2023.12,122.0,34,13.46,112.71,1.4,26934,4.16,87.87
