"교육기관형태별(1)",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"교육기관형태별(1)",충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도
"계",144,138,131,126,128,125,125,122,127,129
